config_id,val_acc,inference_time
285,0.016666667,3.73681879
286,0.016666667,3.735091448
287,0.016666667,3.736218691
288,0.016666667,3.742874146
289,0.01,5.739331961
290,0.01,5.753378153
291,0.01,5.756267071
292,0.01,5.737087727
293,0.01,5.744062424
294,0.01,5.754300833
295,0.01,5.743668556
296,0.01,5.755576849
297,0.01,5.755571604
298,0.01,5.740652561
299,0.01,5.74680686
300,0.01,5.749541759
301,0.01,5.74066186
302,0.01,5.751721859
303,0.01,5.748526573
304,0.01,5.741890907
305,0.016666667,5.738305092
306,0.016666667,5.730351448
307,0.016666667,5.745826006
308,0.016666667,5.751955032
309,0.016666667,5.744157553
310,0.016666667,5.752290487
311,0.016666667,5.738757849
312,0.016666667,5.751393557
313,0.016666667,5.745644808
314,0.016666667,5.757521629
315,0.016666667,5.749602079
